epoch=309 gen_loss=0.0618 critic_loss=-19.6799 gp=0.5562
epoch=310 gen_loss=-0.0696 critic_loss=-19.7449 gp=0.5504
epoch=311 gen_loss=0.2881 critic_loss=-19.6514 gp=0.5484
epoch=312 gen_loss=0.2890 critic_loss=-19.5963 gp=0.5509
epoch=313 gen_loss=0.1495 critic_loss=-19.6713 gp=0.5570
epoch=314 gen_loss=-0.0834 critic_loss=-19.7683 gp=0.5527
epoch=315 gen_loss=0.1289 critic_loss=-19.8095 gp=0.5608
epoch=316 gen_loss=0.2940 critic_loss=-19.8496 gp=0.5565
epoch=317 gen_loss=-0.0418 critic_loss=-19.7903 gp=0.5539
epoch=318 gen_loss=0.1143 critic_loss=-19.7908 gp=0.5563
epoch=319 gen_loss=0.2050 critic_loss=-19.8923 gp=0.5595
epoch=320 gen_loss=0.0974 critic_loss=-19.8609 gp=0.5615
epoch=321 gen_loss=0.2780 critic_loss=-19.8474 gp=0.5583
epoch=322 gen_loss=0.3270 critic_loss=-19.9413 gp=0.5645
epoch=323 gen_loss=0.1332 critic_loss=-19.9018 gp=0.5631
epoch=324 gen_loss=-0.0357 critic_loss=-20.0084 gp=0.5597
epoch=325 gen_loss=0.2185 critic_loss=-19.9687 gp=0.5685
epoch=326 gen_loss=0.2108 critic_loss=-20.0159 gp=0.5663
epoch=327 gen_loss=0.0292 critic_loss=-19.9568 gp=0.5629
epoch=328 gen_loss=0.0875 critic_loss=-20.0798 gp=0.5715
epoch=329 gen_loss=0.1774 critic_loss=-19.9961 gp=0.5640
epoch=330 gen_loss=0.1870 critic_loss=-20.1123 gp=0.5707
epoch=331 gen_loss=0.1571 critic_loss=-19.9962 gp=0.5698
epoch=332 gen_loss=0.0970 critic_loss=-20.0546 gp=0.5675
epoch=333 gen_loss=0.3028 critic_loss=-20.1706 gp=0.5758
epoch=334 gen_loss=0.0361 critic_loss=-20.1131 gp=0.5628
epoch=335 gen_loss=0.1415 critic_loss=-20.3041 gp=0.5859
epoch=336 gen_loss=-0.0485 critic_loss=-20.4273 gp=0.5836
